brand,url,image_url,collection,reference,price,currency,country,year,price_GBP,price_USD,price_JPY,price_EUR
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00683-submersible---42mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/0/1818650.png,SUBMERSIBLE,PAM00683,9700.0,EUR,France,2021,8007.35,10074.42,1516206.03,9700.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00799-submersible-bmg-tech---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/1/1818651.png,SUBMERSIBLE,PAM00799,14900.0,EUR,France,2021,12299.95,15475.14,2329017.51,14900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00960-submersible-carbotech---42mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/3/1818653.png,SUBMERSIBLE,PAM00960,16900.0,EUR,France,2021,13950.95,17552.34,2641637.31,16900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00961-submersible-marina-militare-carbotech---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/4/1818654.png,SUBMERSIBLE,PAM00961,39900.0,EUR,France,2021,32937.45,41440.14,6236765.01,39900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00979-submersible-marina-militare-carbotech---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/5/1818655.png,SUBMERSIBLE,PAM00979,18900.0,EUR,France,2021,15601.95,19629.54,2954257.11,18900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00982-submersible-chrono-guillaume-nery-edition----47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/6/1818656.png,SUBMERSIBLE,PAM00982,18900.0,EUR,France,2021,15601.95,19629.54,2954257.11,18900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00983-submersible-chrono-guillaume-nery-edition----47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/7/1818657.png,SUBMERSIBLE,PAM00983,38900.0,EUR,France,2021,32111.95,40401.54,6080455.11,38900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00984-submersible-mike-horn-edition---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/8/1818658.png,SUBMERSIBLE,PAM00984,19900.0,EUR,France,2021,16427.45,20668.14,3110567.01,19900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01036-luminor-luna-rossa-gmt---44mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/66/0/1818660.png,LUMINOR,PAM01036,10900.0,EUR,France,2021,8997.95,11320.74,1703777.91,10900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01038-luminor-luna-rossa-regatta---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/66/2/1818662.png,LUMINOR,PAM01038,23500.0,EUR,France,2021,19399.25,24407.1,3673282.65,23500.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01039-submersible-luna-rossa---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/66/3/1818663.png,SUBMERSIBLE,PAM01039,21000.0,EUR,France,2021,17335.5,21810.6,3282507.9,21000.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01616-submersible-carbotech---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/66/4/1818664.png,SUBMERSIBLE,PAM01616,17400.0,EUR,France,2021,14363.7,18071.64,2719792.26,17400.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00985-submersible-mike-horn-edition---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/76/5/1818765.png,SUBMERSIBLE,PAM00985,39900.0,EUR,France,2021,32937.45,41440.14,6236765.01,39900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01033-luminor-gmt---44mm.html,https://www.panerai.com/content/dam/rcq/pan/18/24/74/0/1824740.png,LUMINOR,PAM01033,9100.0,EUR,France,2021,7512.05,9451.26,1422420.09,9100.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00764-luminor-yachts-challenge---44mm.html,https://www.panerai.com/content/dam/rcq/pan/18/71/47/6/1871476.png,LUMINOR,PAM00764,12900.0,EUR,France,2021,10648.95,13397.939999999999,2016397.71,12900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00788-luminor-yachts-challenge---44mm.html,https://www.panerai.com/content/dam/rcq/pan/18/71/47/7/1871477.png,LUMINOR,PAM00788,15500.0,EUR,France,2021,12795.25,16098.3,2422803.45,15500.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00977-luminor-marina---42mm.html,https://www.panerai.com/content/dam/rcq/pan/18/95/13/7/1895137.png,LUMINOR,PAM00977,8500.0,EUR,France,2021,7016.75,8828.1,1328634.15,8500.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01028-luminor-marina---42mm.html,https://www.panerai.com/content/dam/rcq/pan/18/95/14/1/1895141.png,LUMINOR,PAM01028,8500.0,EUR,France,2021,7016.75,8828.1,1328634.15,8500.0
