collection,reference,cheapest_price,cheapest_country
LUMINOR-DUE,PAM01124,7477.92,France
LUMINOR-DUE,PAM01247,6335.46,France
LUMINOR-DUE,PAM01248,6335.46,France
LUMINOR-DUE,PAM01249,6647.04,France
LUMINOR-DUE,PAM01250,6647.04,France
LUMINOR-DUE,PAM01273,6335.46,France
LUMINOR-DUE,PAM01274,6647.04,France
LUMINOR-DUE,PAM01280,17033.04,France
LUMINOR-DUE,PAM01306,6335.46,France
RADIOMIR,PAM00424,8101.08,France
RADIOMIR,PAM00425,8101.08,France
RADIOMIR,PAM00514,6282.386,Japan
RADIOMIR,PAM00515,17386.138,Japan
RADIOMIR,PAM00572,8181.712,Japan
RADIOMIR,PAM00574,6136.284000000001,Japan
RADIOMIR,PAM00575,14610.2,Japan
RADIOMIR,PAM00577,11320.74,France
RADIOMIR,PAM00609,4967.468,Japan
RADIOMIR,PAM00610,4602.213,Japan
RADIOMIR,PAM00619,10801.44,France
RADIOMIR,PAM00620,8035.610000000001,Japan
RADIOMIR,PAM00628,12047.76,France
RADIOMIR,PAM00655,10074.42,France
RADIOMIR,PAM00657,11840.039999999999,France
RADIOMIR,PAM00753,4569.84,France
RADIOMIR,PAM00754,5089.139999999999,France
RADIOMIR,PAM00931,8828.1,France
RADIOMIR,PAM00932,7305.1,Japan
RADIOMIR,PAM00933,8181.712,Japan
RADIOMIR,PAM00945,9423.579,Japan
RADIOMIR,PAM00946,9569.681,Japan
RADIOMIR,PAM00992,8620.38,France
RADIOMIR,PAM00995,11320.74,France
RADIOMIR,PAM00997,13397.939999999999,France
RADIOMIR,PAM00998,12151.619999999999,France
RADIOMIR,PAM00999,9861.885,Japan
RADIOMIR,PAM01078,11320.74,France
RADIOMIR,PAM01144,8204.94,France
RADIOMIR,PAM01243,8204.94,France
RADIOMIR,PAM02020,6750.9,France
SUBMERSIBLE,PAM00614,12418.67,Japan
SUBMERSIBLE,PAM00615,13733.588,Japan
SUBMERSIBLE,PAM00616,17552.34,France
SUBMERSIBLE,PAM00683,10074.42,France
SUBMERSIBLE,PAM00692,13709.52,France
SUBMERSIBLE,PAM00799,15475.14,France
SUBMERSIBLE,PAM00959,8035.610000000001,Japan
SUBMERSIBLE,PAM00960,17552.34,France
SUBMERSIBLE,PAM00961,41440.14,France
SUBMERSIBLE,PAM00968,17136.899999999998,France
SUBMERSIBLE,PAM00973,9035.82,France
SUBMERSIBLE,PAM00974,27522.899999999998,France
SUBMERSIBLE,PAM00979,19629.54,France
SUBMERSIBLE,PAM00982,19629.54,France
SUBMERSIBLE,PAM00983,40401.54,France
SUBMERSIBLE,PAM00984,20668.14,France
SUBMERSIBLE,PAM00985,41440.14,France
SUBMERSIBLE,PAM01039,21810.6,France
SUBMERSIBLE,PAM01068,10905.3,France
SUBMERSIBLE,PAM01070,31054.14,France
SUBMERSIBLE,PAM01074,16098.3,France
SUBMERSIBLE,PAM01108,197334.0,France
SUBMERSIBLE,PAM01163,30638.7,France
SUBMERSIBLE,PAM01164,28249.92,France
SUBMERSIBLE,PAM01209,9866.699999999999,France
SUBMERSIBLE,PAM01223,9035.82,France
SUBMERSIBLE,PAM01225,62316.0,France
SUBMERSIBLE,PAM01240,46737.0,France
SUBMERSIBLE,PAM01291,20668.14,France
SUBMERSIBLE,PAM01305,9970.56,France
SUBMERSIBLE,PAM01389,11943.9,France
SUBMERSIBLE,PAM01616,18071.64,France
