brand,collection,reference,country,currency,price_2021,price_USD_2021,price_2025,price_USD_2025,Price Difference,Growth Rate (%),CAGR (%)
PANERAI,Luminor Due,PAM01123,UK,GBP,6100.0,8418.0,6600,8504.1,500.0,8.19672131147541,1.9890449893815942
PANERAI,Luminor Due,PAM01250,UK,GBP,5700.0,7865.999999999999,6300,8117.55,600.0,10.526315789473683,2.5336513577710162
PANERAI,Luminor Due,PAM01124,UK,GBP,6400.0,8832.0,7000,9019.5,600.0,9.375,2.265587230876176
PANERAI,Luminor Due,PAM01280,UK,GBP,14700.0,20286.0,16000,20616.0,1300.0,8.843537414965986,2.1411308883253932
PANERAI,Luminor,PAM01086,Japan,JPY,616000.0,5605.6,847000,5724.8730000000005,231000.0,37.5,8.286838533399688
PANERAI,Luminor,PAM01084,Japan,JPY,671000.0,6106.1,924000,6245.316,253000.0,37.704918032786885,8.327161325169797
PANERAI,Luminor,PAM01085,Japan,JPY,671000.0,6106.1,924000,6245.316,253000.0,37.704918032786885,8.327161325169797
PANERAI,Luminor,PAM00915,Japan,JPY,836000.0,7607.6,1144000,7732.296,308000.0,36.84210526315789,8.15707576165341
PANERAI,Luminor,PAM00422,Japan,JPY,1221000.0,11111.1,1705000,11524.095,484000.0,39.63963963963964,8.705665674549024
PANERAI,Luminor,PAM01314,Japan,JPY,990000.0,9009.0,1320000,8921.880000000001,330000.0,33.33333333333333,7.456993182354199
PANERAI,Luminor,PAM01313,Japan,JPY,990000.0,9009.0,1320000,8921.880000000001,330000.0,33.33333333333333,7.456993182354199
PANERAI,Luminor,PAM01312,Japan,JPY,990000.0,9009.0,1320000,8921.880000000001,330000.0,33.33333333333333,7.456993182354199
PANERAI,Luminor,PAM01157,Japan,JPY,1056000.0,9609.6,1430000,9665.37,374000.0,35.41666666666667,7.874309745837005
PANERAI,Luminor,PAM01356,Japan,JPY,1056000.0,9609.6,1430000,9665.37,374000.0,35.41666666666667,7.874309745837005
PANERAI,Luminor,PAM01358,Japan,JPY,1056000.0,9609.6,1430000,9665.37,374000.0,35.41666666666667,7.874309745837005
PANERAI,Luminor,PAM01316,Japan,JPY,1078000.0,9809.8,1441000,9739.719,363000.0,33.6734693877551,7.525458966166454
PANERAI,Luminor,PAM01112,Japan,JPY,2926000.0,26626.6,4048000,27360.432,1122000.0,38.34586466165413,8.452993918750584
PANERAI,Luminor,PAM01441,Japan,JPY,1683000.0,15315.3,2255000,15241.545,572000.0,33.98692810457516,7.588439291281102
PANERAI,Luminor,PAM01218,Japan,JPY,1100000.0,10010.0,1518000,10260.162,418000.0,38.0,8.385147158043438
PANERAI,Luminor,PAM01109,Japan,JPY,1100000.0,10010.0,1518000,10260.162,418000.0,38.0,8.385147158043438
PANERAI,Luminor,PAM01110,Japan,JPY,1210000.0,11011.0,1628000,11003.652,418000.0,34.54545454545455,7.700385439460811
PANERAI,Luminor,PAM01111,Japan,JPY,3234000.0,29429.4,4444000,30036.996000000003,1210000.0,37.41496598639456,8.27009271390371
PANERAI,Luminor,PAM00742,Japan,JPY,5720000.0,52052.0,7678000,51895.602,1958000.0,34.23076923076923,7.637355632648912
PANERAI,Luminor,PAM00715,Japan,JPY,8217000.0,74774.7,10626000,71821.134,2409000.0,29.31726907630522,6.638525433604636
PANERAI,Luminor,PAM01060,Japan,JPY,20712000.0,188479.2,27896000,188549.064,7184000.0,34.685206643491696,7.72834159700142
PANERAI,Submersible,PAM01074,Japan,JPY,1914000.0,17417.4,2673000,18066.807,759000.0,39.6551724137931,8.708688509129892
PANERAI,Submersible,PAM00968,Japan,JPY,2057000.0,18718.7,2816000,19033.344,759000.0,36.898395721925134,8.168196740234567
PANERAI,Luminor Due,PAM01248,Japan,JPY,759000.0,6906.900000000001,1045000,7063.155000000001,286000.0,37.68115942028986,8.322488526223303
PANERAI,Luminor Due,PAM01273,Japan,JPY,759000.0,6906.900000000001,1045000,7063.155000000001,286000.0,37.68115942028986,8.322488526223303
PANERAI,Luminor Due,PAM01123,Japan,JPY,858000.0,7807.8,1155000,7806.645,297000.0,34.61538461538461,7.714377045529197
PANERAI,Luminor Due,PAM01250,Japan,JPY,781000.0,7107.1,1100000,7434.900000000001,319000.0,40.845070422535215,8.939508819980158
PANERAI,Luminor Due,PAM01124,Japan,JPY,880000.0,8008.0,1221000,8252.739,341000.0,38.75,8.532110406965487
PANERAI,Luminor Due,PAM01280,Japan,JPY,2046000.0,18618.6,2805000,18958.995,759000.0,37.096774193548384,8.207361901124788
