reference,year,image_url,collection,brand,country,price,product_url,currency,name,availability,currency_code,price_JPY,price_USD,price_GBP,price_EUR
PAM01371,2025,https://www.panerai.com/content/dam/rcq/pan/22/37/63/3/2237633.png,Luminor,PANERAI,USA,7800,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01371-luminor-quaranta.html,$,Luminor Quaranta,Available,USD,1174449.9000000001,7800.0,6193.200000000001,7509.84
PAM01370,2025,https://www.panerai.com/content/dam/rcq/pan/22/37/39/8/2237398.png,Luminor,PANERAI,USA,7800,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01370-luminor-quaranta.html,$,Luminor Quaranta,Available,USD,1174449.9000000001,7800.0,6193.200000000001,7509.84
PAM01372,2025,https://www.panerai.com/content/dam/rcq/pan/22/37/63/4/2237634.png,Luminor,PANERAI,USA,7800,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01372-luminor-quaranta.html,$,Luminor Quaranta,Available,USD,1174449.9000000001,7800.0,6193.200000000001,7509.84
PAM01408,2025,https://www.panerai.com/content/dam/rcq/pan/UQ/Ak/CS/b6/7k/6a/A4/va/FF/7t/WQ/UQAkCSb67k6aA4vaFF7tWQ.png,Luminor,PANERAI,USA,9300,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01408-luminor-quaranta-steel-dlc-luna-rossa.html,$,Luminor Quaranta Steel DLC Luna Rossa,Out of Stock,USD,1400305.6500000001,9300.0,7384.200000000001,8954.039999999999
PAM01526,2025,https://www.panerai.com/content/dam/rcq/pan/N4/Nf/LG/Uz/Qr/aO/YK/-9/th/IN/TQ/N4NfLGUzQraOYK-9thINTQ.png,Luminor,PANERAI,USA,13300,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01526-luminor-quaranta-carbotech.html,$,Luminor Quaranta Carbotech™,Out of Stock,USD,2002587.6500000001,13300.0,10560.2,12805.24
PAM01314,2025,https://www.panerai.com/content/dam/rcq/pan/20/66/83/2/2066832.png,Luminor,PANERAI,USA,8800,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01314-luminor-marina.html,$,Luminor Marina,Available,USD,1325020.4000000001,8800.0,6987.200000000001,8472.64
PAM01313,2025,https://www.panerai.com/content/dam/rcq/pan/20/50/94/8/2050948.png,Luminor,PANERAI,USA,8800,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01313-luminor-marina.html,$,Luminor Marina,Available,USD,1325020.4000000001,8800.0,6987.200000000001,8472.64
PAM01312,2025,https://www.panerai.com/content/dam/rcq/pan/13/33/02/4/1333024.png,Luminor,PANERAI,USA,8800,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01312-luminor-marina.html,$,Luminor Marina,Available,USD,1325020.4000000001,8800.0,6987.200000000001,8472.64
PAM01157,2025,https://www.panerai.com/content/dam/rcq/pan/R-/Ap/va/Qh/qU/uK/cE/iQ/Og/Ny/qA/R-ApvaQhqUuKcEiQOgNyqA.png,Luminor,PANERAI,USA,9400,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01157-luminor-marina-blu-profondo.html,$,Luminor Marina Blu Profondo,Available,USD,1415362.7000000002,9400.0,7463.6,9050.32
PAM01356,2025,https://www.panerai.com/content/dam/rcq/pan/xs/L0/lh/NQ/Q0/W5/d0/cN/sD/l9/gA/xsL0lhNQQ0W5d0cNsDl9gA.png,Luminor,PANERAI,USA,9400,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01356-luminor-marina-verde-smeraldo.html,$,Luminor Marina Verde Smeraldo,Available,USD,1415362.7000000002,9400.0,7463.6,9050.32
PAM01358,2025,https://www.panerai.com/content/dam/rcq/pan/2r/qU/Pf/R3/7U/6K/mv/An/Xj/50/4Q/2rqUPfR37U6KmvAnXj504Q.png,Luminor,PANERAI,USA,9400,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01358-luminor-marina-grigio-roccia.html,$,Luminor Marina Grigio Roccia,Available,USD,1415362.7000000002,9400.0,7463.6,9050.32
PAM01564,2025,https://www.panerai.com/content/dam/rcq/pan/m0/3l/oJ/Ur/xU/WL/8v/Sx/xI/OT/pg/m03loJUrxUWL8vSxxIOTpg.png,Luminor,PANERAI,USA,9500,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01564-luminor-marina.html,$,Luminor Marina,Out of Stock,USD,1430419.75,9500.0,7543.0,9146.6
PAM01316,2025,https://www.panerai.com/content/dam/rcq/pan/20/67/63/6/2067636.png,Luminor,PANERAI,USA,9500,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01316-luminor-marina.html,$,Luminor Marina,Out of Stock,USD,1430419.75,9500.0,7543.0,9146.6
PAM01562,2025,https://www.panerai.com/content/dam/rcq/pan/ir/1O/R1/R_/r0/mp/KS/la/o1/Xf/zw/ir1OR1R_r0mpKSlao1Xfzw.png,Luminor,PANERAI,USA,9500,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01562-luminor-marina.html,$,Luminor Marina,Out of Stock,USD,1430419.75,9500.0,7543.0,9146.6
PAM01412,2025,https://www.panerai.com/content/dam/rcq/pan/qP/1R/cN/9g/ak/yg/8r/VG/Fa/UT/Iw/qP1RcN9gakyg8rVGFaUTIw.png,Luminor,PANERAI,USA,9800,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01412-luminor-marina-navy-seals.html,$,Luminor Marina Navy SEALs,Available,USD,1475590.9000000001,9800.0,7781.200000000001,9435.44
PAM02661,2025,https://www.panerai.com/content/dam/rcq/pan/EO/eS/-u/5M/rE/m5/DR/uq/SJ/ji/7g/EOeS-u5MrEm5DRuqSJji7g.png,Luminor,PANERAI,USA,14800,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam02661-luminor-marina-carbotech.html,$,Luminor Marina Carbotech™,Available,USD,2228443.4000000004,14800.0,11751.2,14249.44
