brand,url,image_url,collection,reference,price,currency,country,year,price_EUR,price_GBP,price_USD,price_JPY
Panerai,https://www.panerai.com/en/collections/watch-collection/submersible/pam00983-submersible-chrono-guillaume-nery-edition----47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/7/1818657.png,SUBMERSIBLE,PAM00983,50600.0,USD,USA,2021,48717.68,40176.4,50600.0,7618867.300000001
Panerai,https://www.panerai.com/en/collections/watch-collection/submersible/pam00984-submersible-mike-horn-edition---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/8/1818658.png,SUBMERSIBLE,PAM00984,25900.0,USD,USA,2021,24936.52,20564.600000000002,25900.0,3899775.95
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01036-luminor-luna-rossa-gmt---44mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/66/0/1818660.png,LUMINOR,PAM01036,14200.0,USD,USA,2021,13671.76,11274.800000000001,14200.0,2138101.1
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01038-luminor-luna-rossa-regatta---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/66/2/1818662.png,LUMINOR,PAM01038,30600.0,USD,USA,2021,29461.68,24296.4,30600.0,4607457.300000001
Panerai,https://www.panerai.com/en/collections/watch-collection/submersible/pam01039-submersible-luna-rossa---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/66/3/1818663.png,SUBMERSIBLE,PAM01039,27400.0,USD,USA,2021,26380.72,21755.600000000002,27400.0,4125631.7
Panerai,https://www.panerai.com/en/collections/watch-collection/submersible/pam01616-submersible-carbotech---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/66/4/1818664.png,SUBMERSIBLE,PAM01616,22600.0,USD,USA,2021,21759.28,17944.4,22600.0,3402893.3000000003
Panerai,https://www.panerai.com/en/collections/watch-collection/submersible/pam00985-submersible-mike-horn-edition---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/76/5/1818765.png,SUBMERSIBLE,PAM00985,52000.0,USD,USA,2021,50065.6,41288.0,52000.0,7829666.000000001
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01033-luminor-gmt---44mm.html,https://www.panerai.com/content/dam/rcq/pan/18/24/74/0/1824740.png,LUMINOR,PAM01033,11900.0,USD,USA,2021,11457.32,9448.6,11900.0,1791788.9500000002
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam00986-luminor-gmt-10-days---44mm.html,https://www.panerai.com/content/dam/rcq/pan/18/24/74/1/1824741.png,LUMINOR,PAM00986,19200.0,USD,USA,2021,18485.76,15244.800000000001,19200.0,2890953.6
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam00764-luminor-yachts-challenge---44mm.html,https://www.panerai.com/content/dam/rcq/pan/18/71/47/6/1871476.png,LUMINOR,PAM00764,16800.0,USD,USA,2021,16175.039999999999,13339.2,16800.0,2529584.4000000004
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam00788-luminor-yachts-challenge---44mm.html,https://www.panerai.com/content/dam/rcq/pan/18/71/47/7/1871477.png,LUMINOR,PAM00788,20200.0,USD,USA,2021,19448.56,16038.800000000001,20200.0,3041524.1
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01020-luminor-yachts-challenge---44mm.html,https://www.panerai.com/content/dam/rcq/pan/18/71/47/8/1871478.png,LUMINOR,PAM01020,35800.0,USD,USA,2021,34468.24,28425.2,35800.0,5390423.9
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam00977-luminor-marina---42mm.html,https://www.panerai.com/content/dam/rcq/pan/18/95/13/7/1895137.png,LUMINOR,PAM00977,11100.0,USD,USA,2021,10687.08,8813.4,11100.0,1671332.55
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01028-luminor-marina---42mm.html,https://www.panerai.com/content/dam/rcq/pan/18/95/14/1/1895141.png,LUMINOR,PAM01028,11100.0,USD,USA,2021,10687.08,8813.4,11100.0,1671332.55
Panerai,https://www.panerai.com/en/collections/watch-collection/submersible/pam00968-submersible-bronzo---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/95/60/5/1895605.png,SUBMERSIBLE,PAM00968,20900.0,USD,USA,2021,20122.52,16594.600000000002,20900.0,3146923.45
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01438-tuttonero-luminor-gmt---44mm.html,https://www.panerai.com/content/dam/rcq/pan/19/05/23/0/1905230.png,LUMINOR,PAM01438,18900.0,USD,USA,2021,18196.92,15006.6,18900.0,2845782.45
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01025-luminor-marina---44mm.html,https://www.panerai.com/content/dam/rcq/pan/19/11/71/9/1911719.png,LUMINOR,PAM01025,10300.0,USD,USA,2021,9916.84,8178.200000000001,10300.0,1550876.1500000001
