currency,collection,product_url,reference,price,year,image_url,country,brand,name,availability,currency_code,price_GBP,price_EUR,price_USD,price_JPY
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01348-radiomir-otto-giorni.html,PAM01348,9700,2025,https://www.panerai.com/content/dam/rcq/pan/4-/XO/xe/EC/K0/KB/TY/Ck/p1/Pc/dA/4-XOxeECK0KBTYCkp1PcdA.png,USA,PANERAI,Radiomir Otto Giorni,Out of Stock,USD,7528.17,8984.14,9700.0,1435067.47
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01349-radiomir-california.html,PAM01349,12300,2025,https://www.panerai.com/content/dam/rcq/pan/Or/cO/lA/rx/8k/-r/vp/Xi/gX/X4/Lg/OrcOlArx8k-rvpXigXX4Lg.png,USA,PANERAI,Radiomir California,Available,USD,9546.03,11392.26,12300.0,1819724.73
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01643-radiomir-8-giorni-eilean.html,PAM01643,42500,2025,https://www.panerai.com/content/dam/rcq/pan/eg/qU/d0/pZ/R9/Ww/SQ/tm/pW/lK/wg/egqUd0pZR9WwSQtmpWlKwg.png,USA,PANERAI,Radiomir 8 Giorni Eilean,Out of Stock,USD,32984.25,39363.5,42500.0,6287666.75
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01284-radiomir-tourbillon-gmt-bronzo.html,PAM01284,147300,2025,https://www.panerai.com/content/dam/rcq/pan/9K/Y5/0m/Wz/80/ix/UJ/aO/96/Jt/RQ/9KY50mWz80ixUJaO96JtRQ.png,USA,PANERAI,Radiomir Tourbillon GMT Bronzo,Out of Stock,USD,114319.53,136429.26,147300.0,21792313.23
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam00760-radiomir-bronzo.html,PAM00760,18600,2025,https://www.panerai.com/content/dam/rcq/pan/23/44/86/4/2344864.png,USA,PANERAI,Radiomir Bronzo,Out of Stock,USD,14435.460000000001,17227.32,18600.0,2751778.86
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01026-radiomir-quaranta-goldtech.html,PAM01026,18200,2025,https://www.panerai.com/content/dam/rcq/pan/Y3/Ss/Mi/Bi/wk/-O/Lv/Y5/uN/5d/Kw/Y3SsMiBiwk-OLvY5uN5dKw.png,USA,PANERAI,Radiomir Quaranta Goldtech™,Available,USD,14125.02,16856.84,18200.0,2692600.82
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01437-radiomir-quaranta-yellow-gold.html,PAM01437,18200,2025,https://www.panerai.com/content/dam/rcq/pan/g5/cn/Xo/v8/vE/CP/Dz/ME/gY/Ge/cQ/g5cnXov8vECPDzMEgYGecQ.png,USA,PANERAI,Radiomir Quaranta Yellow Gold,Available,USD,14125.02,16856.84,18200.0,2692600.82
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01363-radiomir-annual-calendar-goldtech.html,PAM01363,34700,2025,https://www.panerai.com/content/dam/rcq/pan/0a/Da/kZ/iJ/KE/SO/mC/pE/wx/Oj/6Q/0aDakZiJKESOmCpEwxOj6Q.png,USA,PANERAI,Radiomir Annual Calendar Goldtech™,Out of Stock,USD,26930.670000000002,32139.14,34700.0,5133694.97
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01364-radiomir-annual-calendar-platinumtech.html,PAM01364,51100,2025,https://www.panerai.com/content/dam/rcq/pan/nN/44/E4/4V/K0/OU/KX/iq/Yn/WM/tw/nN44E44VK0OUKXiqYnWMtw.png,USA,PANERAI,Radiomir Annual Calendar Platinumtech™,Out of Stock,USD,39658.71,47328.82,51100.0,7559994.609999999
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01453-radiomir-perpetual-calendar-gmt-goldtech.html,PAM01453,43300,2025,https://www.panerai.com/content/dam/rcq/pan/My/We/PY/oA/Tp/Oa/kB/sg/ji/dh/iw/MyWePYoATpOakBsgjidhiw.png,USA,PANERAI,Radiomir Perpetual Calendar GMT Goldtech™,Out of Stock,USD,33605.13,40104.46,43300.0,6406022.83
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam00600-radiomir-minute-repeater-tourbillon-gmt.html,PAM00600,398400,2025,https://www.panerai.com/content/dam/rcq/pan/13/14/96/3/1314963.png,USA,PANERAI,Radiomir Minute Repeater Tourbillon GMT,Out of Stock,USD,309198.24,368998.08,398400.0,58941327.839999996
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01623-luminor-base-logo.html,PAM01623,5600,2025,https://www.panerai.com/content/dam/rcq/pan/mc/zJ/or/Ov/Rc/aM/aT/bm/8A/yR/4Q/mczJorOvRcaMaTbm8AyR4Q.png,USA,PANERAI,Luminor Base Logo,Available,USD,4346.16,5186.72,5600.0,828492.5599999999
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01087-luminor-base-logo.html,PAM01087,5600,2025,https://www.panerai.com/content/dam/rcq/pan/ly/Km/5Y/vf/ZE/Cs/Sd/0o/pV/X4/nA/lyKm5YvfZECsSd0opVX4nA.png,USA,PANERAI,Luminor Base Logo,Available,USD,4346.16,5186.72,5600.0,828492.5599999999
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01086-luminor-base-logo.html,PAM01086,5600,2025,https://www.panerai.com/content/dam/rcq/pan/eO/-Y/kP/44/So/Ki/ps/Ho/yr/yZ/ow/eO-YkP44SoKipsHoyryZow.png,USA,PANERAI,Luminor Base Logo,Available,USD,4346.16,5186.72,5600.0,828492.5599999999
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01084-luminor-logo.html,PAM01084,6100,2025,https://www.panerai.com/content/dam/rcq/pan/20/83/65/0/2083650.png,USA,PANERAI,Luminor Logo,Available,USD,4734.21,5649.82,6100.0,902465.11
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01085-luminor-logo.html,PAM01085,6100,2025,https://www.panerai.com/content/dam/rcq/pan/20/61/23/0/2061230.png,USA,PANERAI,Luminor Logo ,Out of Stock,USD,4734.21,5649.82,6100.0,902465.11
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01624-luminor-logo.html,PAM01624,6100,2025,https://www.panerai.com/content/dam/rcq/pan/RP/Oi/dq/A6/SZ/yy/aM/v3/sX/4-/9w/RPOidqA6SZyyaMv3sX4-9w.png,USA,PANERAI,Luminor Logo,Available,USD,4734.21,5649.82,6100.0,902465.11
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01628-luminor-tre-giorni.html,PAM01628,10500,2025,https://www.panerai.com/content/dam/rcq/pan/Hk/Ga/VG/Yo/Tk/KS/Jy/rN/sE/Nq/_Q/HkGaVGYoTkKSJyrNsENq_Q.png,USA,PANERAI,Luminor Tre Giorni,Out of Stock,USD,8149.05,9725.1,10500.0,1553423.55
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00914-luminor-8-giorni.html,PAM00914,7100,2025,https://www.panerai.com/content/dam/rcq/pan/19/76/97/9/1976979.png,USA,PANERAI,Luminor 8 Giorni,Available,USD,5510.31,6576.02,7100.0,1050410.21
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00915-luminor-8-giorni.html,PAM00915,7600,2025,https://www.panerai.com/content/dam/rcq/pan/19/76/97/7/1976977.png,USA,PANERAI,Luminor 8 Giorni,Available,USD,5898.36,7039.12,7600.0,1124382.76
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01655-luminor-destro-otto-giorni.html,PAM01655,8100,2025,https://www.panerai.com/content/dam/rcq/pan/O8/G5/Gh/c9/Rx/-F/WM/TF/KB/r1/wQ/O8G5Ghc9Rx-FWMTFKBr1wQ.png,USA,PANERAI,Luminor Destro Otto Giorni,Available,USD,6286.41,7502.22,8100.0,1198355.31
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00422-luminor-marina.html,PAM00422,11300,2025,https://www.panerai.com/content/dam/rcq/pan/79/27/56/792756.png,USA,PANERAI,Luminor Marina,Out of Stock,USD,8769.93,10466.06,11300.0,1671779.63
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01371-luminor-quaranta.html,PAM01371,7800,2025,https://www.panerai.com/content/dam/rcq/pan/22/37/63/3/2237633.png,USA,PANERAI,Luminor Quaranta,Available,USD,6053.58,7224.360000000001,7800.0,1153971.78
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01370-luminor-quaranta.html,PAM01370,7800,2025,https://www.panerai.com/content/dam/rcq/pan/22/37/39/8/2237398.png,USA,PANERAI,Luminor Quaranta,Available,USD,6053.58,7224.360000000001,7800.0,1153971.78
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01372-luminor-quaranta.html,PAM01372,7800,2025,https://www.panerai.com/content/dam/rcq/pan/22/37/63/4/2237634.png,USA,PANERAI,Luminor Quaranta,Available,USD,6053.58,7224.360000000001,7800.0,1153971.78
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01408-luminor-quaranta-steel-dlc-luna-rossa.html,PAM01408,9300,2025,https://www.panerai.com/content/dam/rcq/pan/UQ/Ak/CS/b6/7k/6a/A4/va/FF/7t/WQ/UQAkCSb67k6aA4vaFF7tWQ.png,USA,PANERAI,Luminor Quaranta Steel DLC Luna Rossa,Out of Stock,USD,7217.7300000000005,8613.66,9300.0,1375889.43
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01526-luminor-quaranta-carbotech.html,PAM01526,13300,2025,https://www.panerai.com/content/dam/rcq/pan/N4/Nf/LG/Uz/Qr/aO/YK/-9/th/IN/TQ/N4NfLGUzQraOYK-9thINTQ.png,USA,PANERAI,Luminor Quaranta Carbotech™,Out of Stock,USD,10322.130000000001,12318.460000000001,13300.0,1967669.8299999998
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01314-luminor-marina.html,PAM01314,8800,2025,https://www.panerai.com/content/dam/rcq/pan/20/66/83/2/2066832.png,USA,PANERAI,Luminor Marina,Available,USD,6829.68,8150.56,8800.0,1301916.88
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01313-luminor-marina.html,PAM01313,8800,2025,https://www.panerai.com/content/dam/rcq/pan/20/50/94/8/2050948.png,USA,PANERAI,Luminor Marina,Available,USD,6829.68,8150.56,8800.0,1301916.88
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01312-luminor-marina.html,PAM01312,8800,2025,https://www.panerai.com/content/dam/rcq/pan/13/33/02/4/1333024.png,USA,PANERAI,Luminor Marina,Available,USD,6829.68,8150.56,8800.0,1301916.88
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01157-luminor-marina-blu-profondo.html,PAM01157,9400,2025,https://www.panerai.com/content/dam/rcq/pan/R-/Ap/va/Qh/qU/uK/cE/iQ/Og/Ny/qA/R-ApvaQhqUuKcEiQOgNyqA.png,USA,PANERAI,Luminor Marina Blu Profondo,Available,USD,7295.34,8706.28,9400.0,1390683.94
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01356-luminor-marina-verde-smeraldo.html,PAM01356,9400,2025,https://www.panerai.com/content/dam/rcq/pan/xs/L0/lh/NQ/Q0/W5/d0/cN/sD/l9/gA/xsL0lhNQQ0W5d0cNsDl9gA.png,USA,PANERAI,Luminor Marina Verde Smeraldo,Available,USD,7295.34,8706.28,9400.0,1390683.94
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01358-luminor-marina-grigio-roccia.html,PAM01358,9400,2025,https://www.panerai.com/content/dam/rcq/pan/2r/qU/Pf/R3/7U/6K/mv/An/Xj/50/4Q/2rqUPfR37U6KmvAnXj504Q.png,USA,PANERAI,Luminor Marina Grigio Roccia,Available,USD,7295.34,8706.28,9400.0,1390683.94
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01564-luminor-marina.html,PAM01564,9500,2025,https://www.panerai.com/content/dam/rcq/pan/m0/3l/oJ/Ur/xU/WL/8v/Sx/xI/OT/pg/m03loJUrxUWL8vSxxIOTpg.png,USA,PANERAI,Luminor Marina,Out of Stock,USD,7372.95,8798.9,9500.0,1405478.45
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01316-luminor-marina.html,PAM01316,9500,2025,https://www.panerai.com/content/dam/rcq/pan/20/67/63/6/2067636.png,USA,PANERAI,Luminor Marina,Out of Stock,USD,7372.95,8798.9,9500.0,1405478.45
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01562-luminor-marina.html,PAM01562,9500,2025,https://www.panerai.com/content/dam/rcq/pan/ir/1O/R1/R_/r0/mp/KS/la/o1/Xf/zw/ir1OR1R_r0mpKSlao1Xfzw.png,USA,PANERAI,Luminor Marina,Out of Stock,USD,7372.95,8798.9,9500.0,1405478.45
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01412-luminor-marina-navy-seals.html,PAM01412,9800,2025,https://www.panerai.com/content/dam/rcq/pan/qP/1R/cN/9g/ak/yg/8r/VG/Fa/UT/Iw/qP1RcN9gakyg8rVGFaUTIw.png,USA,PANERAI,Luminor Marina Navy SEALs,Available,USD,7605.78,9076.76,9800.0,1449861.98
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam02661-luminor-marina-carbotech.html,PAM02661,14800,2025,https://www.panerai.com/content/dam/rcq/pan/EO/eS/-u/5M/rE/m5/DR/uq/SJ/ji/7g/EOeS-u5MrEm5DRuqSJji7g.png,USA,PANERAI,Luminor Marina Carbotech™,Available,USD,11486.28,13707.76,14800.0,2189587.48
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam02662-luminor-marina-tuttogrigio.html,PAM02662,16300,2025,https://www.panerai.com/content/dam/rcq/pan/yy/cr/9q/UF/8E/i4/Xp/AT/OQ/_Q/Qw/yycr9qUF8Ei4XpATOQ_QQw.png,USA,PANERAI,Luminor Marina TuttoGrigio,Out of Stock,USD,12650.43,15097.06,16300.0,2411505.13
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01112-luminor-marina-goldtech.html,PAM01112,26800,2025,https://www.panerai.com/content/dam/rcq/pan/20/35/33/2/2035332.png,USA,PANERAI,Luminor Marina Goldtech™ ,Available,USD,20799.48,24822.16,26800.0,3964928.6799999997
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01365-luminor-quaranta-bitempo.html,PAM01365,9200,2025,https://www.panerai.com/content/dam/rcq/pan/uG/0I/iH/F2/xE/iG/8V/Vk/z4/Lv/Ig/uG0IiHF2xEiG8VVkz4LvIg.png,USA,PANERAI,Luminor Quaranta BiTempo,Available,USD,7140.12,8521.04,9200.0,1361094.92
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01367-luminor-quaranta-bitempo.html,PAM01367,9200,2025,https://www.panerai.com/content/dam/rcq/pan/CT/n-/6W/SU/ok/CC/Wq/YS/6M/km/gQ/CTn-6WSUokCCWqYS6MkmgQ.png,USA,PANERAI,Luminor Quaranta BiTempo,Available,USD,7140.12,8521.04,9200.0,1361094.92
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01404-luminor-quaranta-bitempo-luna-rossa.html,PAM01404,9600,2025,https://www.panerai.com/content/dam/rcq/pan/i7/zz/dP/TF/Kk/6Y/YC/D8/K6/wz/xQ/i7zzdPTFKk6YYCD8K6wzxQ.png,USA,PANERAI,Luminor Quaranta BiTempo Luna Rossa,Available,USD,7450.56,8891.52,9600.0,1420272.96
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01640-luminor-quaranta-bitempo.html,PAM01640,9800,2025,https://www.panerai.com/content/dam/rcq/pan/8G/1V/mN/s5/Tj/2E/r0/-R/p2/Tt/0A/8G1VmNs5Tj2Er0-Rp2Tt0A.png,USA,PANERAI,Luminor Quaranta BiTempo,Available,USD,7605.78,9076.76,9800.0,1449861.98
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01641-luminor-quaranta-bitempo-goldtech.html,PAM01641,25400,2025,https://www.panerai.com/content/dam/rcq/pan/c1/qc/KI/QE/RB/uk/hB/wg/mT/GE/4g/c1qcKIQERBukhBwgmTGE4g.png,USA,PANERAI,Luminor Quaranta BiTempo Goldtech™,Out of Stock,USD,19712.94,23525.48,25400.0,3757805.54
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01360-luminor-bitempo-power-reserve.html,PAM01360,10600,2025,https://www.panerai.com/content/dam/rcq/pan/OJ/1e/ma/oI/EU/ex/4m/Es/3I/a1/ow/OJ1emaoIEUex4mEs3Ia1ow.png,USA,PANERAI,Luminor BiTempo Power Reserve,Available,USD,8226.66,9817.72,10600.0,1568218.06
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01361-luminor-bitempo-power-reserve.html,PAM01361,10600,2025,https://www.panerai.com/content/dam/rcq/pan/aM/zj/RO/N0/6k/Sl/Pw/jL/Cm/ro/kg/aMzjRON06kSlPwjLCmrokg.png,USA,PANERAI,Luminor BiTempo Power Reserve,Available,USD,8226.66,9817.72,10600.0,1568218.06
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01441-luminor-gmt.html,PAM01441,14900,2025,https://www.panerai.com/content/dam/rcq/pan/17/12/33/1/1712331.png,USA,PANERAI,Luminor GMT,Available,USD,11563.89,13800.380000000001,14900.0,2204381.9899999998
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01674-luminor-gmt-power-reserve-ceramica.html,PAM01674,19100,2025,https://www.panerai.com/content/dam/rcq/pan/MC/aC/kK/6t/TR/SO/eX/tG/o5/BN/Hg/MCaCkK6tTRSOeXtGo5BNHg.png,USA,PANERAI,Luminor GMT Power Reserve Ceramica,Out of Stock,USD,14823.51,17690.420000000002,19100.0,2825751.41
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01218-luminor-chrono.html,PAM01218,10000,2025,https://www.panerai.com/content/dam/rcq/pan/21/48/54/1/2148541.png,USA,PANERAI,Luminor Chrono,Available,USD,7761.0,9262.0,10000.0,1479451.0
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01109-luminor-chrono.html,PAM01109,10000,2025,https://www.panerai.com/content/dam/rcq/pan/21/48/44/8/2148448.png,USA,PANERAI,Luminor Chrono,Available,USD,7761.0,9262.0,10000.0,1479451.0
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01110-luminor-chrono.html,PAM01110,10800,2025,https://www.panerai.com/content/dam/rcq/pan/21/48/47/5/2148475.png,USA,PANERAI,Luminor Chrono,Available,USD,8381.880000000001,10002.960000000001,10800.0,1597807.08
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01548-luminor-chrono.html,PAM01548,10800,2025,https://www.panerai.com/content/dam/rcq/pan/KN/yQ/HT/7X/8E/mk/Jn/fc/ZC/aV/Ig/KNyQHT7X8EmkJnfcZCaVIg.png,USA,PANERAI,Luminor Chrono,Available,USD,8381.880000000001,10002.960000000001,10800.0,1597807.08
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01219-luminor-chrono-carbotech.html,PAM01219,16600,2025,https://www.panerai.com/content/dam/rcq/pan/cd/oK/fQ/Qt/SU/et/Rb/ak/AV/Fk/TA/cdoKfQQtSUetRbakAVFkTA.png,USA,PANERAI,Luminor Chrono Carbotech™,Available,USD,12883.26,15374.92,16600.0,2455888.66
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01111-luminor-chrono-goldtech.html,PAM01111,29400,2025,https://www.panerai.com/content/dam/rcq/pan/21/48/50/1/2148501.png,USA,PANERAI,Luminor Chrono Goldtech™,Available,USD,22817.34,27230.280000000002,29400.0,4349585.9399999995
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01409-luminor-chrono-navy-seals.html,PAM01409,11000,2025,https://www.panerai.com/content/dam/rcq/pan/gE/0n/MZ/Ma/9k/Op/N-/8F/mc/nf/DQ/gE0nMZMa9kOpN-8FmcnfDQ.png,USA,PANERAI,Luminor Chrono Navy SEALs,Out of Stock,USD,8537.1,10188.2,11000.0,1627396.0999999999
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01419-luminor-chrono-carbotech-navy-seals.html,PAM01419,17900,2025,https://www.panerai.com/content/dam/rcq/pan/Sm/IC/8D/Fv/HU/qL/NG/kj/Mg/F8/8g/SmIC8DFvHUqLNGkjMgF88g.png,USA,PANERAI,Luminor Chrono Carbotech™ Navy SEALs,Available,USD,13892.19,16578.98,17900.0,2648217.29
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01482-luminor-dieci-giorni-gmt.html,PAM01482,15200,2025,https://www.panerai.com/content/dam/rcq/pan/MT/BC/lK/ZB/Tv/GJ/d8/UV/Nx/2S/Bw/MTBClKZBTvGJd8UVNx2SBw.png,USA,PANERAI,Luminor Dieci Giorni GMT,Out of Stock,USD,11796.72,14078.24,15200.0,2248765.52
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01483-luminor-dieci-giorni-gmt-ceramica.html,PAM01483,19500,2025,https://www.panerai.com/content/dam/rcq/pan/DZ/dw/-j/Qb/SQ/6U/2X/HX/LA/S_/dg/DZdw-jQbSQ6U2XHXLAS_dg.png,USA,PANERAI,Luminor Dieci Giorni GMT Ceramica,Out of Stock,USD,15133.95,18060.9,19500.0,2884929.4499999997
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00742-luminor-perpetual-calendar-gmt-goldtech.html,PAM00742,45100,2025,https://www.panerai.com/content/dam/rcq/pan/21/48/57/9/2148579.png,USA,PANERAI,Luminor Perpetual Calendar GMT Goldtech™ ,Out of Stock,USD,35002.11,41771.62,45100.0,6672324.01
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00715-luminor-perpetual-calendar-gmt-platinumtech.html,PAM00715,62400,2025,https://www.panerai.com/content/dam/rcq/pan/21/64/65/8/2164658.png,USA,PANERAI,Luminor Perpetual Calendar GMT Platinumtech™,Out of Stock,USD,48428.64,57794.880000000005,62400.0,9231774.24
$,Luminor,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01688-luminor-perpetual-calendar-goldtech.html,PAM01688,45900,2025,https://www.panerai.com/content/dam/rcq/pan/jn/Ma/k1/Ej/TF/Od/9e/BI/Oo/Jx/ww/jnMak1EjTFOd9eBIOoJxww.png,USA,PANERAI,Luminor Perpetual Calendar Goldtech™,Out of Stock,USD,35622.99,42512.58,45900.0,6790680.09
