reference,brand,product_url,price,year,currency,image_url,collection,country,name,availability,currency_code,price_USD,price_EUR,price_GBP,price_JPY
PAM01350,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01350-radiomir-tre-giorni.html,7100.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/mC/bG/Av/li/W0/6q/58/sB/Gm/l_/1w/mCbGAvliW06q58sBGml_1w.png,Radiomir,USA,Radiomir Tre Giorni,Available,USD,7100.0,6813.16,5623.91,1063569.3499999999
PAM01347,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01347-radiomir-otto-giorni.html,9700.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/sq/bR/W6/SN/-E/CF/th/-B/Zw/5b/tA/sqbRW6SN-ECFth-BZw5btA.png,Radiomir,USA,Radiomir Otto Giorni,Available,USD,9700.0,9308.12,7683.37,1453045.45
PAM01348,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01348-radiomir-otto-giorni.html,9700.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/4-/XO/xe/EC/K0/KB/TY/Ck/p1/Pc/dA/4-XOxeECK0KBTYCkp1PcdA.png,Radiomir,USA,Radiomir Otto Giorni,Out of Stock,USD,9700.0,9308.12,7683.37,1453045.45
PAM01349,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01349-radiomir-california.html,12300.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/Or/cO/lA/rx/8k/-r/vp/Xi/gX/X4/Lg/OrcOlArx8k-rvpXigXX4Lg.png,Radiomir,USA,Radiomir California,Available,USD,12300.0,11803.08,9742.83,1842521.5499999998
PAM01643,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01643-radiomir-8-giorni-eilean.html,42300.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/eg/qU/d0/pZ/R9/Ww/SQ/tm/pW/lK/wg/egqUd0pZR9WwSQtmpWlKwg.png,Radiomir,USA,Radiomir 8 Giorni Eilean,Out of Stock,USD,42300.0,40591.08,33505.83,6336476.55
PAM01284,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01284-radiomir-tourbillon-gmt-bronzo.html,146700.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/9K/Y5/0m/Wz/80/ix/UJ/aO/96/Jt/RQ/9KY50mWz80ixUJaO96JtRQ.png,Radiomir,USA,Radiomir Tourbillon GMT Bronzo,Out of Stock,USD,146700.0,140773.32,116201.07,21975439.95
PAM00760,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam00760-radiomir-bronzo.html,18600.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/23/44/86/4/2344864.png,Radiomir,USA,Radiomir Bronzo,Out of Stock,USD,18600.0,17848.56,14733.060000000001,2786252.0999999996
PAM01026,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01026-radiomir-quaranta-goldtech.html,18200.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/Y3/Ss/Mi/Bi/wk/-O/Lv/Y5/uN/5d/Kw/Y3SsMiBiwk-OLvY5uN5dKw.png,Radiomir,USA,Radiomir Quaranta Goldtech™,Available,USD,18200.0,17464.72,14416.220000000001,2726332.6999999997
PAM01437,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01437-radiomir-quaranta-yellow-gold.html,18200.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/g5/cn/Xo/v8/vE/CP/Dz/ME/gY/Ge/cQ/g5cnXov8vECPDzMEgYGecQ.png,Radiomir,USA,Radiomir Quaranta Yellow Gold,Available,USD,18200.0,17464.72,14416.220000000001,2726332.6999999997
PAM01363,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01363-radiomir-annual-calendar-goldtech.html,34500.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/0a/Da/kZ/iJ/KE/SO/mC/pE/wx/Oj/6Q/0aDakZiJKESOmCpEwxOj6Q.png,Radiomir,USA,Radiomir Annual Calendar Goldtech™,Out of Stock,USD,34500.0,33106.2,27327.45,5168048.25
PAM01364,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01364-radiomir-annual-calendar-platinumtech.html,50900.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/nN/44/E4/4V/K0/OU/KX/iq/Yn/WM/tw/nN44E44VK0OUKXiqYnWMtw.png,Radiomir,USA,Radiomir Annual Calendar Platinumtech™,Out of Stock,USD,50900.0,48843.64,40317.89,7624743.649999999
PAM01453,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01453-radiomir-perpetual-calendar-gmt-goldtech.html,43200.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/My/We/PY/oA/Tp/Oa/kB/sg/ji/dh/iw/MyWePYoATpOakBsgjidhiw.png,Radiomir,USA,Radiomir Perpetual Calendar GMT Goldtech™,Out of Stock,USD,43200.0,41454.72,34218.72,6471295.199999999
PAM00600,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam00600-radiomir-minute-repeater-tourbillon-gmt.html,396800.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/13/14/96/3/1314963.png,Radiomir,USA,Radiomir Minute Repeater Tourbillon GMT,Out of Stock,USD,396800.0,380769.28,314305.28,59440044.8
PAM01623,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01623-luminor-base-logo.html,5600.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/mc/zJ/or/Ov/Rc/aM/aT/bm/8A/yR/4Q/mczJorOvRcaMaTbm8AyR4Q.png,Luminor,USA,Luminor Base Logo,Available,USD,5600.0,5373.76,4435.76,838871.6
PAM01087,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01087-luminor-base-logo.html,5600.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/ly/Km/5Y/vf/ZE/Cs/Sd/0o/pV/X4/nA/lyKm5YvfZECsSd0opVX4nA.png,Luminor,USA,Luminor Base Logo,Available,USD,5600.0,5373.76,4435.76,838871.6
PAM01086,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01086-luminor-base-logo.html,5600.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/eO/-Y/kP/44/So/Ki/ps/Ho/yr/yZ/ow/eO-YkP44SoKipsHoyryZow.png,Luminor,USA,Luminor Base Logo,Available,USD,5600.0,5373.76,4435.76,838871.6
PAM01084,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01084-luminor-logo.html,6100.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/20/83/65/0/2083650.png,Luminor,USA,Luminor Logo,Available,USD,6100.0,5853.56,4831.81,913770.85
PAM01085,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01085-luminor-logo.html,6100.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/20/61/23/0/2061230.png,Luminor,USA,Luminor Logo ,Available,USD,6100.0,5853.56,4831.81,913770.85
PAM01624,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01624-luminor-logo.html,6100.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/RP/Oi/dq/A6/SZ/yy/aM/v3/sX/4-/9w/RPOidqA6SZyyaMv3sX4-9w.png,Luminor,USA,Luminor Logo,Available,USD,6100.0,5853.56,4831.81,913770.85
PAM01628,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01628-luminor-tre-giorni.html,10500.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/Hk/Ga/VG/Yo/Tk/KS/Jy/rN/sE/Nq/_Q/HkGaVGYoTkKSJyrNsENq_Q.png,Luminor,USA,Luminor Tre Giorni,Out of Stock,USD,10500.0,10075.8,8317.050000000001,1572884.25
PAM00914,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00914-luminor-8-giorni.html,7100.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/19/76/97/9/1976979.png,Luminor,USA,Luminor 8 Giorni,Available,USD,7100.0,6813.16,5623.91,1063569.3499999999
PAM00915,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00915-luminor-8-giorni.html,7600.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/19/76/97/7/1976977.png,Luminor,USA,Luminor 8 Giorni,Available,USD,7600.0,7292.96,6019.96,1138468.5999999999
PAM01655,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01655-luminor-destro-otto-giorni.html,8100.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/O8/G5/Gh/c9/Rx/-F/WM/TF/KB/r1/wQ/O8G5Ghc9Rx-FWMTFKBr1wQ.png,Luminor,USA,Luminor Destro Otto Giorni,Available,USD,8100.0,7772.76,6416.01,1213367.8499999999
PAM00422,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00422-luminor-marina.html,11300.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/79/27/56/792756.png,Luminor,USA,Luminor Marina,Out of Stock,USD,11300.0,10843.48,8950.73,1692723.0499999998
PAM01371,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01371-luminor-quaranta.html,7800.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/22/37/63/3/2237633.png,Luminor,USA,Luminor Quaranta,Available,USD,7800.0,7484.88,6178.38,1168428.2999999998
PAM01370,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01370-luminor-quaranta.html,7800.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/22/37/39/8/2237398.png,Luminor,USA,Luminor Quaranta,Available,USD,7800.0,7484.88,6178.38,1168428.2999999998
PAM01372,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01372-luminor-quaranta.html,7800.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/22/37/63/4/2237634.png,Luminor,USA,Luminor Quaranta,Available,USD,7800.0,7484.88,6178.38,1168428.2999999998
PAM01408,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01408-luminor-quaranta-steel-dlc-luna-rossa.html,9300.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/UQ/Ak/CS/b6/7k/6a/A4/va/FF/7t/WQ/UQAkCSb67k6aA4vaFF7tWQ.png,Luminor,USA,Luminor Quaranta Steel DLC Luna Rossa,Out of Stock,USD,9300.0,8924.28,7366.530000000001,1393126.0499999998
PAM01526,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01526-luminor-quaranta-carbotech.html,13300.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/N4/Nf/LG/Uz/Qr/aO/YK/-9/th/IN/TQ/N4NfLGUzQraOYK-9thINTQ.png,Luminor,USA,Luminor Quaranta Carbotech™,Out of Stock,USD,13300.0,12762.68,10534.93,1992320.0499999998
PAM01314,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01314-luminor-marina.html,8800.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/20/66/83/2/2066832.png,Luminor,USA,Luminor Marina,Available,USD,8800.0,8444.48,6970.4800000000005,1318226.7999999998
PAM01313,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01313-luminor-marina.html,8800.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/20/50/94/8/2050948.png,Luminor,USA,Luminor Marina,Available,USD,8800.0,8444.48,6970.4800000000005,1318226.7999999998
PAM01312,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01312-luminor-marina.html,8800.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/13/33/02/4/1333024.png,Luminor,USA,Luminor Marina,Available,USD,8800.0,8444.48,6970.4800000000005,1318226.7999999998
PAM01157,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01157-luminor-marina-blu-profondo.html,9400.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/R-/Ap/va/Qh/qU/uK/cE/iQ/Og/Ny/qA/R-ApvaQhqUuKcEiQOgNyqA.png,Luminor,USA,Luminor Marina Blu Profondo,Available,USD,9400.0,9020.24,7445.740000000001,1408105.9
PAM01356,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01356-luminor-marina-verde-smeraldo.html,9400.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/xs/L0/lh/NQ/Q0/W5/d0/cN/sD/l9/gA/xsL0lhNQQ0W5d0cNsDl9gA.png,Luminor,USA,Luminor Marina Verde Smeraldo,Available,USD,9400.0,9020.24,7445.740000000001,1408105.9
PAM01358,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01358-luminor-marina-grigio-roccia.html,9400.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/2r/qU/Pf/R3/7U/6K/mv/An/Xj/50/4Q/2rqUPfR37U6KmvAnXj504Q.png,Luminor,USA,Luminor Marina Grigio Roccia,Available,USD,9400.0,9020.24,7445.740000000001,1408105.9
PAM01564,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01564-luminor-marina.html,9500.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/m0/3l/oJ/Ur/xU/WL/8v/Sx/xI/OT/pg/m03loJUrxUWL8vSxxIOTpg.png,Luminor,USA,Luminor Marina,Out of Stock,USD,9500.0,9116.2,7524.95,1423085.75
PAM01316,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01316-luminor-marina.html,9500.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/20/67/63/6/2067636.png,Luminor,USA,Luminor Marina,Out of Stock,USD,9500.0,9116.2,7524.95,1423085.75
PAM01562,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01562-luminor-marina.html,9500.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/ir/1O/R1/R_/r0/mp/KS/la/o1/Xf/zw/ir1OR1R_r0mpKSlao1Xfzw.png,Luminor,USA,Luminor Marina,Out of Stock,USD,9500.0,9116.2,7524.95,1423085.75
PAM01412,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01412-luminor-marina-navy-seals.html,9800.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/qP/1R/cN/9g/ak/yg/8r/VG/Fa/UT/Iw/qP1RcN9gakyg8rVGFaUTIw.png,Luminor,USA,Luminor Marina Navy SEALs,Available,USD,9800.0,9404.08,7762.58,1468025.2999999998
PAM02661,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam02661-luminor-marina-carbotech.html,14800.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/EO/eS/-u/5M/rE/m5/DR/uq/SJ/ji/7g/EOeS-u5MrEm5DRuqSJji7g.png,Luminor,USA,Luminor Marina Carbotech™,Available,USD,14800.0,14202.08,11723.08,2217017.8
PAM02662,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam02662-luminor-marina-tuttogrigio.html,16300.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/yy/cr/9q/UF/8E/i4/Xp/AT/OQ/_Q/Qw/yycr9qUF8Ei4XpATOQ_QQw.png,Luminor,USA,Luminor Marina TuttoGrigio,Out of Stock,USD,16300.0,15641.48,12911.23,2441715.55
PAM01112,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01112-luminor-marina-goldtech.html,26800.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/20/35/33/2/2035332.png,Luminor,USA,Luminor Marina Goldtech™ ,Available,USD,26800.0,25717.28,21228.280000000002,4014599.8
PAM01365,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01365-luminor-quaranta-bitempo.html,9200.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/uG/0I/iH/F2/xE/iG/8V/Vk/z4/Lv/Ig/uG0IiHF2xEiG8VVkz4LvIg.png,Luminor,USA,Luminor Quaranta BiTempo,Available,USD,9200.0,8828.32,7287.320000000001,1378146.2
PAM01367,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01367-luminor-quaranta-bitempo.html,9200.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/CT/n-/6W/SU/ok/CC/Wq/YS/6M/km/gQ/CTn-6WSUokCCWqYS6MkmgQ.png,Luminor,USA,Luminor Quaranta BiTempo,Available,USD,9200.0,8828.32,7287.320000000001,1378146.2
PAM01404,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01404-luminor-quaranta-bitempo-luna-rossa.html,9600.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/i7/zz/dP/TF/Kk/6Y/YC/D8/K6/wz/xQ/i7zzdPTFKk6YYCD8K6wzxQ.png,Luminor,USA,Luminor Quaranta BiTempo Luna Rossa,Available,USD,9600.0,9212.16,7604.16,1438065.5999999999
PAM01640,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01640-luminor-quaranta-bitempo.html,9800.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/8G/1V/mN/s5/Tj/2E/r0/-R/p2/Tt/0A/8G1VmNs5Tj2Er0-Rp2Tt0A.png,Luminor,USA,Luminor Quaranta BiTempo,Available,USD,9800.0,9404.08,7762.58,1468025.2999999998
PAM01641,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01641-luminor-quaranta-bitempo-goldtech.html,25400.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/c1/qc/KI/QE/RB/uk/hB/wg/mT/GE/4g/c1qcKIQERBukhBwgmTGE4g.png,Luminor,USA,Luminor Quaranta BiTempo Goldtech™,Out of Stock,USD,25400.0,24373.84,20119.34,3804881.9
PAM01360,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01360-luminor-bitempo-power-reserve.html,10600.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/OJ/1e/ma/oI/EU/ex/4m/Es/3I/a1/ow/OJ1emaoIEUex4mEs3Ia1ow.png,Luminor,USA,Luminor BiTempo Power Reserve,Available,USD,10600.0,10171.76,8396.26,1587864.0999999999
PAM01361,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01361-luminor-bitempo-power-reserve.html,10600.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/aM/zj/RO/N0/6k/Sl/Pw/jL/Cm/ro/kg/aMzjRON06kSlPwjLCmrokg.png,Luminor,USA,Luminor BiTempo Power Reserve,Available,USD,10600.0,10171.76,8396.26,1587864.0999999999
PAM01441,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01441-luminor-gmt.html,14900.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/17/12/33/1/1712331.png,Luminor,USA,Luminor GMT,Available,USD,14900.0,14298.04,11802.29,2231997.65
PAM01674,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01674-luminor-gmt-power-reserve-ceramica.html,19100.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/MC/aC/kK/6t/TR/SO/eX/tG/o5/BN/Hg/MCaCkK6tTRSOeXtGo5BNHg.png,Luminor,USA,Luminor GMT Power Reserve Ceramica,Out of Stock,USD,19100.0,18328.36,15129.11,2861151.3499999996
PAM01218,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01218-luminor-chrono.html,10000.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/21/48/54/1/2148541.png,Luminor,USA,Luminor Chrono,Available,USD,10000.0,9596.0,7921.0,1497985.0
PAM01109,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01109-luminor-chrono.html,10000.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/21/48/44/8/2148448.png,Luminor,USA,Luminor Chrono,Available,USD,10000.0,9596.0,7921.0,1497985.0
PAM01110,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01110-luminor-chrono.html,10800.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/21/48/47/5/2148475.png,Luminor,USA,Luminor Chrono,Available,USD,10800.0,10363.68,8554.68,1617823.7999999998
PAM01548,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01548-luminor-chrono.html,10800.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/KN/yQ/HT/7X/8E/mk/Jn/fc/ZC/aV/Ig/KNyQHT7X8EmkJnfcZCaVIg.png,Luminor,USA,Luminor Chrono,Available,USD,10800.0,10363.68,8554.68,1617823.7999999998
PAM01219,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01219-luminor-chrono-carbotech.html,16600.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/cd/oK/fQ/Qt/SU/et/Rb/ak/AV/Fk/TA/cdoKfQQtSUetRbakAVFkTA.png,Luminor,USA,Luminor Chrono Carbotech™,Available,USD,16600.0,15929.36,13148.86,2486655.0999999996
PAM01111,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01111-luminor-chrono-goldtech.html,29400.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/21/48/50/1/2148501.png,Luminor,USA,Luminor Chrono Goldtech™,Available,USD,29400.0,28212.24,23287.74,4404075.899999999
PAM01409,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01409-luminor-chrono-navy-seals.html,11000.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/gE/0n/MZ/Ma/9k/Op/N-/8F/mc/nf/DQ/gE0nMZMa9kOpN-8FmcnfDQ.png,Luminor,USA,Luminor Chrono Navy SEALs,Out of Stock,USD,11000.0,10555.6,8713.1,1647783.5
PAM01419,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01419-luminor-chrono-carbotech-navy-seals.html,17900.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/Sm/IC/8D/Fv/HU/qL/NG/kj/Mg/F8/8g/SmIC8DFvHUqLNGkjMgF88g.png,Luminor,USA,Luminor Chrono Carbotech™ Navy SEALs,Available,USD,17900.0,17176.84,14178.59,2681393.15
PAM01482,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01482-luminor-dieci-giorni-gmt.html,15200.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/MT/BC/lK/ZB/Tv/GJ/d8/UV/Nx/2S/Bw/MTBClKZBTvGJd8UVNx2SBw.png,Luminor,USA,Luminor Dieci Giorni GMT,Out of Stock,USD,15200.0,14585.92,12039.92,2276937.1999999997
PAM01483,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01483-luminor-dieci-giorni-gmt-ceramica.html,19500.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/DZ/dw/-j/Qb/SQ/6U/2X/HX/LA/S_/dg/DZdw-jQbSQ6U2XHXLAS_dg.png,Luminor,USA,Luminor Dieci Giorni GMT Ceramica,Out of Stock,USD,19500.0,18712.2,15445.95,2921070.75
PAM00742,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00742-luminor-perpetual-calendar-gmt-goldtech.html,44900.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/21/48/57/9/2148579.png,Luminor,USA,Luminor Perpetual Calendar GMT Goldtech™ ,Out of Stock,USD,44900.0,43086.04,35565.29,6725952.649999999
PAM00715,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00715-luminor-perpetual-calendar-gmt-platinumtech.html,62100.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/21/64/65/8/2164658.png,Luminor,USA,Luminor Perpetual Calendar GMT Platinumtech™,Out of Stock,USD,62100.0,59591.16,49189.41,9302486.85
